year,petro_percent_energy,Real oil price
1960,0.63%,57.05370928
1961,4.39%,56.44886593
1962,1.55%,55.79393743
1963,1.17%,55.10181794
1964,3.01%,53.92505285
1965,4.55%,52.63631032
1966,3.42%,51.40522826
1967,2.38%,51.54542867
1968,5.82%,50.14850492
1969,3.91%,51.04927542
1970,3.44%,49.03112443
1971,5.24%,49.97770608
1972,3.47%,48.39378767
1973,5.26%,49.54719462
1974,6.31%,119.5382068
1975,5.10%,117.8363184
1976,9.97%,126.2274398
1977,8.49%,134.035275
1978,11.57%,129.3594609
1979,10.85%,175.4242622
1980,13.62%,257.8354375
1981,11.65%,229.1674163
1982,8.07%,198.0284325
1983,3.22%,173.466634
1984,3.46%,160.0874491
1985,1.84%,147.7494195
1986,0.40%,77.92411711
1987,1.79%,95.8509733
1988,2.99%,76.69003561
1989,3.41%,89.83325039
1990,5.88%,106.5381094
1991,3.70%,89.65646986
1992,2.15%,83.28385284
1993,2.23%,72.60908227
1994,1.67%,65.8949841
1995,1.79%,68.72910576
1996,0.74%,80.268378
1997,1.67%,72.92937104
1998,2.21%,50.16381058
1999,1.87%,65.68166949
2000,4.46%,100
2001,3.31%,83.21942578
2002,3.15%,82.46216728
2003,4.54%,96.18332678
2004,6.95%,124.6658335
2005,6.76%,164.3452585
2006,8.21%,186.3889401
2007,6.48%,198.3462984
2008,5.86%,262.8860628
2009,7.10%,163.4090171
2010,8.55%,206.9973395
2011,8.02%,240.2373958
2012,5.65%,233.1895695
2013,5.67%,238.9323353
2014,6.00%,223.9026984
2015,1.78%,116.7532378
2016,2.19%,102.1642914
2017,1.11%,117.9776479
2018,1.02%,146.9776182
2019,0.95%,126.6779559
2020,0.70%,86.12652798
2021,0.00%,142.5953145
2022,0.00%,184.0919832
2023,0.00%,144.8056243
2024,0.00%,138.6859463
