country,year,stem,cnt,yearggdc,ave_ind_share,ave_agri_share,edu_attain,edu_attain2,pop,logpop,_merge,income,income2,logincome,edu_stem,ave_ind_share_adj,yhat
ARG,2006,.13787439,ARG,2017,.19211534,.051757343,13.68,187.14241,44.361149,3.7923641,Matched (3),23125,534765632,10.04867,1.8861217,-.002933189,.22966841
BFA,2010,.2333404,BFA,2017,.1812904,.49249327,2.7366891,7.4894671,19.751467,2.9832277,Matched (3),2053,4214809,7.6270576,.63858014,.055412915,.18446863
BGD,2016,.1127611,BGD,2017,.20528537,.40230143,8.1595144,66.577675,161.37671,5.0837417,Matched (3),4373,19123128,8.3832045,.92007577,.071887739,.16171163
BRA,2001,.1339324,BRA,2017,.18956277,.10255267,21.847204,477.30032,209.46933,5.3445773,Matched (3),14598,213101600,9.5886402,2.9260485,.02213742,.20105541
BWA,2001,.088787206,BWA,2017,.14103767,.32010001,29.592546,875.71881,2.2540679,.81273651,Matched (3),16922,286354080,9.7363701,2.6274395,.035156611,.12817529
CHL,2004,.2389722,CHL,2017,.16826351,.059729442,20.282566,411.38248,18.72916,2.9300816,Matched (3),23677,560600320,10.072259,4.8469696,-.011359932,.23962872
,,.47999999,CHN,2017,.33224809,.26543084,16.120001,259.85443,1427.6478,7.2637835,Matched (3),13665,186732224,9.5225935,7.7376003,.18687779,.26589701
CMR,2006,.2586084,CMR,2017,.11454076,.53276819,7.1436152,51.031239,25.216267,3.2274892,Matched (3),3552,12616704,8.1752663,1.8473989,.0062535633,.17322306
COL,2012,.223719,COL,2017,.18017209,.19024849,26.908066,724.04401,49.661049,3.905221,Matched (3),13602,185014400,9.517972,6.0198455,.04159651,.19475082
CRI,2001,.1237097,CRI,2017,.19411802,.15607254,19.081215,364.09277,4.9994411,1.6093261,Matched (3),18910,357588096,9.8474464,2.3605313,.032097034,.19308417
DNK,2000,.1925061,DNK,2011,.19337745,.027605124,38.272697,1464.7993,5.7521262,1.7495695,Matched (3),54500,2970249984,10.905956,7.3677278,.044545598,.19716962
ECU,2007,.1045007,ECU,2017,.19395097,.23770574,15.057489,226.72798,17.084358,2.8381634,Matched (3),11420,130416400,9.3431215,1.5735183,.040580027,.17961079
EGY,2016,.122197,EGY,2017,.26789308,.21689349,18.05229,325.88516,98.423599,4.5892806,Matched (3),10734,115218752,9.2811718,2.2059357,.11642061,.1821558
ESP,2000,.24690771,ESP,2011,.21105388,.047220338,35.207413,1239.5619,46.69286,3.8435912,Matched (3),40667,1653804928,10.613173,8.6929817,.059926834,.2131249
ETH,2000,.10916941,ETH,2017,.13114366,.65772635,1.2551223,1.575332,109.22441,4.6934047,Matched (3),2097,4397409,7.648263,.13702096,.036661603,.1218942
FRA,2000,.29387867,FRA,2011,.19158871,.029792557,37.211563,1384.7004,67.191025,4.2075396,Matched (3),44136,1947986432,10.695031,10.935685,.041001707,.22437915
GBR,2000,.24134041,GBR,2011,.19355342,.020420041,41.771332,1744.8441,67.141685,4.2068052,Matched (3),45881,2105066112,10.733807,10.081111,.050514072,.20363927
GHA,2015,.17377029,GHA,2017,.19977614,.33497679,9.1920881,84.494484,29.767101,3.3934038,Matched (3),5263,27699168,8.5684566,1.5973119,.054480307,.18892908
HKG,2003,.37953418,HKG,2017,.1203752,.0016834218,24.848656,617.45569,7.3717299,1.9976524,Matched (3),60844,3701992448,11.016068,9.4309139,-.06184534,.27752054
IDN,2015,.1730061,IDN,2017,.21690308,.30623353,11.676264,136.33514,267.67053,5.589757,Matched (3),11142,124144160,9.3184767,2.0200648,.070786275,.18955816
ISR,2020,.2692143,ISR,2017,.17405155,.017853947,38.29998,1466.8884,8.3815165,2.1260288,Matched (3),41461,1719014528,10.632508,10.310903,.023241539,.218409
ITA,2000,.23280729,ITA,2011,.27154228,.037835177,17.677914,312.50864,60.627293,4.1047454,Matched (3),41220,1699088384,10.626678,4.1155472,.081920885,.24807867
KEN,2000,.30525449,KEN,2017,.18554443,.44107497,5.6796312,32.258209,51.392567,3.9394937,Matched (3),4028,16224784,8.3010254,1.7337329,.055069983,.20712303
KHM,2000,.104402,KHM,2017,.17926486,.51188189,5.4294047,29.478436,16.249792,2.7880802,Matched (3),4020,16160400,8.299037,.56684071,.063045956,.14243396
KOR,2000,.40421459,KOR,2017,.25238323,.049599648,48.651512,2366.9697,51.171707,3.9351869,Matched (3),41078,1687402112,10.623228,19.665651,.1297735,.22410692
LAO,2009,.1191805,LAO,2017,.074040875,.74283391,9.6034622,92.226486,7.0615072,1.9546585,Matched (3),7023,49322528,8.856946,1.1445454,.014720334,.089246444
LKA,2015,.19489831,LKA,2017,.27972192,.25829795,5.1100001,26.112101,21.228764,3.055357,Matched (3),12478,155700480,9.4317226,.99593037,.1099155,.21874484
LSO,2015,.11672299,LSO,2017,.21024978,.35460627,5.9871707,35.846214,2.1083281,.74589527,Matched (3),2620,6864400,7.8709297,.6988405,.062370706,.1771879
MAR,2001,.18402429,MAR,2017,.23626944,.33378178,3.7144351,13.797029,36.029095,3.5843267,Matched (3),7500,56250000,8.922658,.6835463,.079307459,.20316999
MEX,2000,.24362011,MEX,2017,.25597686,.12859567,18.777937,352.6109,126.19079,4.8377948,Matched (3),19580,383376384,9.8822641,4.5746832,.087589465,.22955975
MMR,2018,.336678,MMR,2017,.16737229,.49318331,28.905794,835.54492,53.708321,3.983568,Matched (3),4916,24167056,8.5002508,9.731945,.096181549,.15572967
MOZ,2004,.1532314,MOZ,2017,.041432057,.7305603,2.6822472,7.1944499,29.496004,3.3842547,Matched (3),1128,1272384,7.0282016,.41100448,-.034875415,.11478347
MYS,2004,.45026028,MYS,2017,.2741223,.10959557,23.34,544.75562,31.528032,3.450877,Matched (3),27016,729864256,10.204185,10.509075,.11127812,.27590331
NAM,2001,.0197044,NAM,2017,.16006887,.22287092,11.002987,121.06572,2.4483011,.89539433,Matched (3),10260,105267600,9.2360077,.21680725,-.0048485901,.16986518
NLD,2000,.1631535,NLD,2011,.16662148,.029171117,38.879337,1511.6029,17.059561,2.8367107,Matched (3),55095,3035459072,10.916814,6.3432999,.019380823,.18820806
PER,2016,.23467831,PER,2017,.16423728,.19098258,14.43714,208.43103,31.98926,3.4654002,Matched (3),12382,153313920,9.4239988,3.3880837,-.00017752542,.2233419
PHL,2015,.24952339,PHL,2017,.18668932,.24867392,24.836723,616.86285,106.6514,4.6695657,Matched (3),7937,62995968,8.979291,6.1973433,.055989675,.19335429
RWA,2017,.13751391,RWA,2017,.10934153,.63416898,5.8288226,33.975174,12.30197,2.5097594,Matched (3),2047,4190209,7.6241307,.80154419,.019475862,.12439504
SGP,2016,.34501481,SGP,2017,.25814244,.0032503968,53.344788,2845.6663,5.7574992,1.7505032,Matched (3),89339,7981456896,11.400193,18.404741,.13564175,.20913297
SWE,2000,.31078091,SWE,2011,.22934024,.022854192,45.215157,2044.4104,9.9716377,2.2997448,Matched (3),55390,3068052224,10.922154,14.052008,.093986653,.21338983
THA,2015,.26769742,THA,2017,.22872801,.31863123,17.055161,290.87851,69.428452,4.2402968,Matched (3),17225,296700640,9.754117,4.5656223,.096409477,.19953664
TUN,2012,.4308376,TUN,2017,.31511936,.094066292,15.015347,225.46063,11.565201,2.4480007,Matched (3),10546,111218112,9.2635021,6.4691758,.13168369,.29161781
TUR,2000,.30655509,TUR,2017,.26602128,.18906781,21.86434,478.04935,82.340088,4.4108582,Matched (3),26861,721513344,10.198431,6.7026248,.11668696,.22630948
TZA,2021,.092655398,TZA,2017,.060846426,.69406343,2.4576726,6.0401545,54.733589,4.0024776,Matched (3),2289,5239521,7.7358704,.22771664,-.023545844,.10765779
UGA,2000,.1441461,UGA,2017,.084060222,.66005826,9.4537601,89.373581,42.729034,3.7548788,Matched (3),1932,3732624,7.5663109,1.3627226,.0071527702,.11310215
VEN,2000,.26447988,VEN,2011,.21784146,.083449386,30.211613,912.74152,28.887117,3.3633957,Matched (3),378,142884,5.9348941,7.9903636,.063862793,.22038884
VNM,2015,.2341544,VNM,2017,.26240808,.3894012,14.692742,215.87668,95.545959,4.5596075,Matched (3),7384,54523456,8.9070711,3.4403703,.13993506,.18126856
